日時,プロダクト名,X座標,Y座標
20250524160934,シャア専用ザク表,134,37
20250524160934,シャア専用ザク表,132,40
20250524160934,シャア専用ザク表,133,39
20250524160934,シャア専用ザク表,132,39
20250524160934,シャア専用ザク表,154,83
20250524160934,シャア専用ザク表,152,86
20250524160934,シャア専用ザク表,151,77
20250524160934,シャア専用ザク表,154,74
20250524160934,シャア専用ザク表,157,66
20250524160934,シャア専用ザク表,158,63
20250524160934,シャア専用ザク表,155,67
20250524160934,シャア専用ザク表,155,66
20250524160934,シャア専用ザク表,154,66
20250524160934,シャア専用ザク表,12,98
20250524160934,シャア専用ザク表,11,102
20250524160934,シャア専用ザク表,13,101
20250524160934,シャア専用ザク表,15,99
20250524160934,シャア専用ザク表,19,90
20250524160934,シャア専用ザク表,18,93
20250524160934,シャア専用ザク表,128,97
