日時,プロダクト名,問題,X座標,Y座標
20250524172204,ザク裏,汚れ,176,56
20250524172204,ザク裏,汚れ,179,58
20250524172204,ザク裏,汚れ,178,61
20250524172204,ザク裏,汚れ,186,69
20250524172204,ザク裏,汚れ,183,73
20250524172204,ザク裏,汚れ,162,85
20250524172204,ザク裏,汚れ,165,89
20250524172204,ザク裏,汚れ,164,92
20250524172204,ザク裏,汚れ,137,101
20250524172204,ザク裏,汚れ,134,79
20250524172204,ザク裏,汚れ,141,100
20250524172204,ザク裏,汚れ,161,78
20250524172204,ザク裏,汚れ,188,72
20250524172204,ザク裏,汚れ,191,78
20250524172204,ザク裏,汚れ,184,79
20250524172204,ザク裏,汚れ,179,77
20250524172204,ザク裏,汚れ,178,74
20250524172204,ザク裏,汚れ,137,103
